iter	Passed	Remaining
270	3410	9174
271	3423	9161
272	3435	9148
273	3447	9135
274	3459	9121
275	3472	9108
276	3484	9095
277	3497	9082
278	3509	9068
279	3521	9056
280	3533	9042
281	3546	9028
282	3558	9015
283	3570	9002
284	3583	8989
285	3595	8976
286	3607	8963
287	3620	8950
288	3632	8937
289	3644	8923
290	3656	8909
291	3669	8896
292	3681	8883
293	3694	8870
294	3706	8857
295	3718	8844
296	3731	8831
297	3743	8818
298	3755	8805
299	3768	8793
300	3781	8782
301	3794	8770
302	3807	8757
303	3819	8744
304	3831	8731
305	3844	8718
306	3856	8705
307	3868	8692
308	3881	8678
309	3893	8665
310	3905	8652
311	3917	8638
312	3930	8626
313	3942	8613
314	3955	8600
315	3967	8587
316	3979	8575
317	3992	8561
318	4004	8548
319	4016	8535
320	4029	8522
321	4041	8509
322	4053	8496
323	4066	8483
324	4078	8470
325	4090	8457
326	4103	8444
327	4115	8430
328	4127	8418
329	4140	8405
330	4152	8392
331	4164	8380
332	4177	8366
333	4189	8353
334	4201	8340
335	4213	8327
336	4226	8315
337	4238	8301
338	4250	8288
339	4263	8275
340	4275	8262
341	4287	8249
342	4299	8235
343	4311	8222
344	4324	8210
345	4337	8198
346	4349	8184
347	4361	8172
348	4374	8159
349	4386	8146
350	4398	8133
351	4410	8119
352	4423	8107
353	4435	8094
354	4448	8081
355	4460	8069
356	4472	8055
357	4484	8042
358	4496	8029
359	4509	8017
360	4521	8003
361	4534	7991
362	4546	7978
363	4559	7966
364	4571	7952
365	4583	7939
366	4595	7926
367	4607	7913
368	4619	7899
369	4631	7886
370	4644	7873
371	4656	7861
372	4668	7848
373	4681	7835
374	4693	7822
375	4705	7809
376	4717	7796
377	4730	7783
378	4742	7771
379	4755	7758
380	4767	7745
381	4779	7732
382	4791	7719
383	4804	7706
384	4816	7693
385	4828	7680
386	4840	7667
387	4853	7655
388	4865	7642
389	4877	7629
390	4890	7616
391	4902	7603
392	4914	7590
393	4927	7578
394	4939	7565
395	4951	7552
396	4963	7539
397	4976	7526
398	4988	7514
399	5000	7501
400	5013	7488
401	5025	7476
402	5038	7463
403	5050	7450
404	5062	7438
405	5075	7425
406	5087	7412
407	5099	7399
408	5112	7387
409	5124	7374
410	5136	7361
411	5149	7349
412	5161	7336
413	5173	7323
414	5186	7310
415	5198	7297
416	5210	7285
417	5223	7272
418	5235	7260
419	5247	7247
420	5260	7234
421	5272	7221
422	5284	7208
423	5297	7196
424	5309	7183
425	5321	7170
426	5333	7157
427	5346	7144
428	5358	7132
429	5370	7119
430	5382	7106
431	5394	7093
432	5407	7080
433	5419	7067
434	5431	7054
435	5444	7042
436	5456	7029
437	5468	7016
438	5480	7004
439	5493	6991
440	5505	6978
441	5517	6965
442	5530	6953
443	5542	6940
444	5554	6927
445	5567	6915
446	5579	6902
447	5591	6889
448	5603	6876
449	5615	6863
450	5627	6850
451	5640	6838
452	5652	6825
453	5664	6812
454	5676	6799
455	5689	6787
456	5701	6774
457	5713	6761
458	5726	6749
459	5739	6737
460	5751	6724
461	5763	6711
462	5775	6698
463	5788	6686
464	5801	6674
465	5813	6662
466	5826	6649
467	5838	6637
468	5851	6625
469	5863	6612
470	5876	6599
471	5888	6586
472	5900	6573
473	5912	6561
474	5924	6548
475	5937	6535
476	5949	6523
477	5961	6510
478	5973	6497
479	5986	6484
480	5998	6472
481	6010	6459
482	6022	6446
483	6034	6433
484	6047	6421
485	6059	6408
486	6071	6395
487	6083	6383
488	6095	6370
489	6108	6358
490	6121	6345
491	6133	6332
492	6145	6320
493	6158	6307
494	6170	6295
495	6182	6282
496	6195	6269
497	6207	6257
498	6219	6244
499	6232	6232
500	6244	6219
501	6257	6207
502	6269	6194
503	6281	6181
504	6293	6169
505	6306	6156
506	6318	6143
507	6330	6131
508	6342	6118
509	6355	6106
510	6367	6093
511	6380	6081
512	6393	6069
513	6405	6056
514	6417	6043
515	6429	6031
516	6442	6018
517	6454	6005
518	6466	5993
519	6479	5980
520	6491	5968
521	6503	5955
522	6516	5942
523	6528	5930
524	6540	5917
525	6553	5905
526	6565	5892
527	6577	5879
528	6589	5867
529	6602	5854
530	6614	5842
531	6626	5829
532	6638	5816
533	6651	5804
534	6663	5791
535	6675	5778
536	6688	5766
537	6700	5753
538	6712	5741
539	6724	5728
540	6737	5716
541	6766	5717
542	6778	5704
543	6790	5692
544	6802	5679
545	6814	5666
546	6827	5654
547	6839	5641
548	6852	5629
549	6864	5616
550	6876	5603
551	6889	5591
552	6901	5578
553	6913	5565
554	6925	5553
555	6937	5540
556	6950	5527
557	6962	5515
558	6974	5502
559	6987	5489
560	6999	5477
561	7011	5464
562	7023	5451
563	7035	5438
564	7047	5426
565	7060	5413
566	7072	5401
567	7084	5388
568	7097	5375
569	7109	5363
570	7121	5350
571	7134	5338
572	7146	5325
573	7158	5312
574	7171	5300
575	7183	5287
576	7195	5275
577	7208	5262
578	7220	5250
579	7232	5237
580	7245	5225
581	7257	5212
582	7270	5200
583	7284	5188
584	7297	5176
585	7309	5164
586	7321	5151
587	7334	5139
588	7347	5126
589	7359	5114
590	7371	5101
591	7384	5089
592	7396	5076
593	7408	5063
594	7420	5051
595	7433	5038
596	7445	5026
597	7458	5013
598	7470	5001
599	7482	4988
600	7495	4976
601	7507	4963
602	7519	4950
603	7532	4938
604	7544	4925
605	7556	4913
606	7569	4900
607	7581	4888
608	7594	4875
609	7606	4863
610	7618	4850
611	7631	4838
612	7643	4825
613	7656	4813
614	7668	4800
615	7681	4788
616	7693	4775
617	7706	4763
618	7718	4750
619	7730	4738
620	7743	4725
621	7755	4713
622	7768	4700
623	7780	4688
624	7793	4675
625	7805	4663
626	7817	4650
627	7830	4638
628	7844	4627
629	7858	4615
630	7870	4602
631	7882	4590
632	7895	4577
633	7907	4564
634	7919	4552
635	7932	4539
636	7944	4527
637	7956	4514
638	7968	4502
639	7981	4489
640	7993	4476
641	8005	4464
642	8018	4451
643	8030	4439
644	8043	4426
645	8055	4414
646	8068	4402
647	8080	4389
648	8093	4377
649	8105	4364
650	8118	4352
651	8130	4339
652	8142	4326
653	8154	4314
654	8167	4301
655	8179	4289
656	8192	4276
657	8204	4264
658	8216	4251
659	8228	4239
660	8241	4226
661	8253	4213
662	8265	4201
663	8277	4188
664	8290	4176
665	8302	4163
666	8314	4151
667	8326	4138
668	8339	4125
669	8351	4113
670	8363	4100
671	8376	4088
672	8388	4075
673	8400	4063
674	8413	4050
675	8425	4038
676	8437	4025
677	8450	4013
678	8462	4000
679	8474	3988
680	8487	3975
681	8499	3963
682	8511	3950
683	8523	3937
684	8536	3925
685	8548	3912
686	8560	3900
687	8573	3887
688	8585	3875
689	8597	3862
690	8610	3850
691	8622	3837
692	8634	3825
693	8646	3812
694	8659	3800
695	8671	3787
696	8684	3775
697	8696	3762
698	8709	3750
699	8721	3737
700	8733	3725
701	8745	3712
702	8758	3700
703	8770	3687
704	8782	3675
705	8795	3662
706	8807	3649
707	8819	3637
708	8831	3624
709	8844	3612
710	8856	3599
711	8868	3587
712	8880	3574
713	8893	3562
714	8905	3549
715	8917	3537
716	8930	3524
717	8942	3512
718	8954	3499
719	8967	3487
720	8979	3474
721	8991	3462
722	9003	3449
723	9016	3437
724	9028	3424
725	9040	3411
726	9052	3399
727	9065	3387
728	9077	3374
729	9090	3362
730	9102	3349
731	9114	3336
732	9126	3324
733	9138	3311
734	9151	3299
735	9163	3286
736	9175	3274
737	9188	3261
738	9200	3249
739	9212	3236
740	9225	3224
741	9237	3211
742	9249	3199
743	9261	3186
744	9274	3174
745	9286	3161
746	9298	3149
747	9310	3136
748	9323	3124
749	9335	3111
750	9347	3099
751	9360	3086
752	9372	3074
753	9384	3061
754	9397	3049
755	9409	3036
756	9421	3024
757	9433	3011
758	9446	2999
759	9458	2986
760	9470	2974
761	9482	2961
762	9495	2949
763	9508	2937
764	9520	2924
765	9532	2912
766	9545	2899
767	9557	2887
768	9570	2874
769	9582	2862
770	9594	2849
771	9606	2837
772	9619	2824
773	9631	2812
774	9643	2799
775	9655	2787
776	9668	2774
777	9680	2762
778	9693	2749
779	9705	2737
780	9718	2725
781	9731	2712
782	9743	2700
783	9755	2687
784	9767	2675
785	9780	2662
786	9792	2650
787	9804	2637
788	9816	2625
789	9829	2612
790	9842	2600
791	9854	2587
792	9866	2575
793	9879	2563
794	9892	2550
795	9904	2538
796	9917	2525
797	9929	2513
798	9941	2500
799	9953	2488
800	9966	2476
801	9978	2463
802	9990	2451
803	10003	2438
804	10015	2426
805	10028	2413
806	10040	2401
807	10052	2388
808	10065	2376
809	10077	2363
810	10089	2351
811	10102	2338
812	10114	2326
813	10126	2313
814	10138	2301
815	10150	2288
816	10162	2276
817	10175	2263
818	10187	2251
819	10199	2238
820	10211	2226
821	10224	2213
822	10236	2201
823	10248	2189
824	10260	2176
825	10273	2164
826	10285	2151
827	10298	2139
828	10310	2126
829	10322	2114
830	10334	2101
831	10347	2089
832	10359	2076
833	10371	2064
834	10384	2051
835	10396	2039
836	10408	2027
837	10421	2014
838	10433	2002
839	10445	1989
840	10457	1977
841	10470	1964
842	10482	1952
843	10494	1939
844	10507	1927
845	10519	1914
846	10531	1902
847	10543	1889
848	10556	1877
849	10568	1865
850	10581	1852
851	10593	1840
852	10606	1827
853	10618	1815
854	10630	1802
855	10643	1790
856	10655	1777
857	10667	1765
858	10680	1753
859	10692	1740
860	10704	1728
861	10716	1715
862	10729	1703
863	10741	1690
864	10753	1678
865	10766	1665
866	10778	1653
867	10790	1641
868	10802	1628
869	10815	1616
870	10827	1603
871	10839	1591
872	10852	1578
873	10864	1566
874	10876	1553
875	10889	1541
876	10901	1528
877	10913	1516
878	10926	1504
879	10938	1491
880	10951	1479
881	10964	1466
882	10976	1454
883	10989	1441
884	11001	1429
885	11013	1417
886	11026	1404
887	11038	1392
888	11050	1379
889	11062	1367
890	11074	1354
891	11086	1342
892	11099	1329
893	11111	1317
894	11123	1305
895	11135	1292
896	11147	1280
897	11160	1267
898	11172	1255
899	11185	1242
900	11198	1230
901	11210	1217
902	11222	1205
903	11234	1193
904	11247	1180
905	11259	1168
906	11271	1155
907	11283	1143
908	11296	1130
909	11308	1118
910	11320	1105
911	11333	1093
912	11345	1081
913	11357	1068
914	11369	1056
915	11382	1043
916	11394	1031
917	11406	1018
918	11418	1006
919	11431	994
920	11443	981
921	11455	969
922	11468	956
923	11480	944
924	11492	931
925	11505	919
926	11517	906
927	11529	894
928	11542	882
929	11554	869
930	11566	857
931	11578	844
932	11591	832
933	11603	819
934	11615	807
935	11628	795
936	11640	782
937	11652	770
938	11664	757
939	11677	745
940	11689	732
941	11701	720
942	11713	708
943	11726	695
944	11738	683
945	11750	670
946	11762	658
947	11775	645
948	11787	633
949	11799	621
950	11812	608
951	11824	596
952	11837	583
953	11849	571
954	11861	558
955	11874	546
956	11886	534
957	11899	521
958	11912	509
959	11925	496
960	11937	484
961	11949	472
962	11962	459
963	11974	447
964	11987	434
965	11999	422
966	12012	409
967	12024	397
968	12036	385
969	12048	372
970	12061	360
971	12073	347
972	12085	335
973	12097	322
974	12110	310
975	12122	298
976	12135	285
977	12147	273
978	12159	260
979	12172	248
980	12184	235
981	12196	223
982	12209	211
983	12221	198
984	12233	186
985	12246	173
986	12258	161
987	12270	149
988	12282	136
989	12295	124
990	12307	111
991	12319	99
992	12332	86
993	12344	74
994	12356	62
995	12369	49
996	12381	37
997	12393	24
998	12406	12
999	12418	0
