iter	Logloss
0	0.6794031399
1	0.6663028891
2	0.6537459643
3	0.6416929092
4	0.6302289685
5	0.6192694555
6	0.6087043422
7	0.5985701744
8	0.5880427878
9	0.5787373582
10	0.5699871975
11	0.5612174617
12	0.5529795862
13	0.5452439758
14	0.5377772826
15	0.5302450052
16	0.5235537568
17	0.5166489017
18	0.5103027964
19	0.5041573266
20	0.49821299
21	0.492852302
22	0.487573264
23	0.482474562
24	0.4769184127
25	0.4714764717
26	0.4666550066
27	0.4620841355
28	0.4572653928
29	0.4531244868
30	0.4492887847
31	0.4449422173
32	0.4409221531
33	0.4377617027
34	0.4336272881
35	0.4304027664
36	0.4273839792
37	0.4245067998
38	0.4209136455
39	0.4177991655
40	0.4151891603
41	0.4121553483
42	0.4095168298
43	0.4068459862
44	0.4046542899
45	0.4018401589
46	0.3994387208
47	0.3971047175
48	0.3945447594
49	0.3920030123
50	0.3900077254
51	0.3875819064
52	0.3849612807
53	0.3829790577
54	0.380987937
55	0.3792022609
56	0.3770548518
57	0.3751733013
58	0.3738218277
59	0.3719966225
60	0.3701966628
61	0.3684017313
62	0.3669191318
63	0.365235821
64	0.3636401166
65	0.3619703568
66	0.3604908661
67	0.3589669437
68	0.3574593475
69	0.3559802107
70	0.3545420963
71	0.3530211673
72	0.3516065326
73	0.3505505556
74	0.3491913492
75	0.347898343
76	0.3465071071
77	0.3451748739
78	0.3439725654
79	0.3428014945
80	0.3415583071
81	0.3405174729
82	0.3392636961
83	0.3381995977
84	0.3371346282
85	0.335805332
86	0.3345313459
87	0.3333701279
88	0.3322799569
89	0.3312403124
90	0.330116488
91	0.3290278211
92	0.3281518434
93	0.3271972493
94	0.3261967924
95	0.3253897196
96	0.3244806039
97	0.323497722
98	0.3224862365
99	0.3217058231
100	0.3209412315
101	0.3201379715
102	0.3192659916
103	0.3184294441
104	0.3176210906
105	0.3167565733
106	0.3159852413
107	0.315104846
108	0.3141231155
109	0.3133440019
110	0.3125253661
111	0.3115253957
112	0.310718332
113	0.310024171
114	0.3092142384
115	0.3084077853
116	0.3077039383
117	0.3068818093
118	0.3062813505
119	0.3054826322
120	0.3048042041
121	0.3041780838
122	0.3033908226
123	0.3027502083
124	0.3018702555
125	0.3011225043
126	0.3003865974
127	0.2995608341
128	0.2988088159
129	0.2982302541
130	0.2975458781
131	0.2970211616
132	0.2963867897
133	0.2957604596
134	0.2951676401
135	0.294551348
136	0.2941043558
137	0.2935727177
138	0.2928628579
139	0.2923682416
140	0.2918233081
141	0.2912458673
142	0.2906377243
143	0.2900305624
144	0.2893783142
145	0.2888865375
146	0.2884632558
147	0.2879858063
148	0.2875807517
149	0.2870817965
150	0.2865923347
151	0.2861049373
152	0.2855692177
153	0.2849905049
154	0.2843724896
155	0.283821902
156	0.2833795655
157	0.2828664027
158	0.2824820153
159	0.2820375301
160	0.2815728716
161	0.2810874563
162	0.2806998629
163	0.2800911244
164	0.2795665245
165	0.2790867884
166	0.2786191507
167	0.2781540692
168	0.2777571476
169	0.2774511785
170	0.277095386
171	0.2767398154
172	0.2763074384
173	0.2757975754
174	0.2753094233
175	0.2749436539
176	0.2744464355
177	0.2739655183
178	0.2734913667
179	0.2730389422
180	0.2726316585
181	0.2722330386
182	0.2717953459
183	0.2713661543
184	0.2709760828
185	0.2705660874
186	0.2702406273
187	0.2698212281
188	0.269409568
189	0.2689250743
190	0.2684623979
191	0.2681205498
192	0.2676387477
193	0.2671350498
194	0.2666354215
195	0.2663246429
196	0.2658956487
197	0.2655455589
198	0.2652298458
199	0.2647602414
200	0.264409305
201	0.2639296919
202	0.2635658137
203	0.2631644333
204	0.2627831537
205	0.2624548522
206	0.2621797451
207	0.2617400444
208	0.2613222533
209	0.2609145897
210	0.2605964225
211	0.2601850571
212	0.2598106876
213	0.2595578287
214	0.2591480879
215	0.2588164588
216	0.2585206142
217	0.2580861104
218	0.2577938816
219	0.2575622627
220	0.2572198948
221	0.2569196559
222	0.256615917
223	0.2563917905
224	0.2560551424
225	0.2557688973
226	0.2554889115
227	0.2551002617
228	0.2547378556
229	0.2543646572
230	0.2540810875
231	0.2537819234
232	0.2534871404
233	0.2531606925
234	0.2528895539
235	0.252597159
236	0.2523669488
237	0.251952096
238	0.2516846924
239	0.2514485938
240	0.2511528569
241	0.250810254
242	0.2505251472
243	0.2501852424
244	0.2498708333
245	0.2496594507
246	0.2494679225
247	0.2491325063
248	0.2488194621
249	0.2485553481
250	0.248319666
251	0.2480109906
252	0.2477745859
253	0.2475223545
254	0.2472909965
255	0.2471270863
256	0.2467874448
257	0.2464895178
258	0.2462620531
259	0.2460327539
260	0.245697624
261	0.2454474068
262	0.2453247992
263	0.2450549163
264	0.2447655807
265	0.24452597
266	0.2442957983
267	0.2440610954
268	0.2438281504
269	0.2436304119
270	0.2434588009
271	0.2431724159
272	0.2428899474
273	0.242680732
274	0.2423644359
275	0.2420985502
276	0.2417712583
277	0.2414707301
278	0.2411991043
279	0.2408807823
280	0.2406363074
281	0.2404603954
282	0.2403153593
283	0.2400542565
284	0.2398537059
285	0.2395390722
286	0.2393859813
287	0.2391349905
288	0.2389411113
289	0.2387603022
290	0.2385386987
291	0.2382557989
292	0.2380869585
293	0.2377702721
294	0.2375649865
295	0.2373447564
296	0.2371843016
297	0.2369464026
298	0.2367567639
299	0.2365290632
300	0.2363713767
301	0.2362274337
302	0.2361054996
303	0.2357772637
304	0.2355735092
305	0.2353157503
306	0.2351268757
307	0.2348628695
308	0.2346788494
309	0.2344182836
310	0.23422344
311	0.233973469
312	0.2338283249
313	0.2336534252
314	0.2333582087
315	0.2330922406
316	0.2329096526
317	0.2327259691
318	0.2324821824
319	0.2322482813
320	0.2319697993
321	0.2316689824
322	0.2315482185
323	0.2314313178
324	0.2312720077
325	0.2310034101
326	0.23083155
327	0.2305689801
328	0.2304329779
329	0.2302461884
330	0.2301028285
331	0.2299292687
332	0.2297446684
333	0.2295149896
334	0.2292589515
335	0.2290571744
336	0.2289511266
337	0.2288068292
338	0.2286074506
339	0.2283985996
340	0.2281674881
341	0.2280063495
342	0.2277323585
343	0.2276133645
344	0.2274531887
345	0.2272759494
346	0.227148703
347	0.2269367917
348	0.2267220943
349	0.2265146291
350	0.2263643979
351	0.2261521575
352	0.2260123471
353	0.2258666024
354	0.2256400449
355	0.2254470157
356	0.2252699131
357	0.2251160919
358	0.224909844
359	0.2247107154
360	0.2245594975
361	0.2244144174
362	0.2242226883
363	0.2241116223
364	0.2238815495
365	0.2237750928
366	0.2236265814
367	0.2235062285
368	0.223374074
369	0.2232844068
370	0.2231142061
371	0.2228890899
372	0.222688869
373	0.2225399395
